Date,Open,High,Low,Close,Volume
2023-07-12,6.64,6.85,6.33,6.62,12638144
2023-07-13,6.72,7.549,6.68,7.47,19282692
2023-07-14,7.5,7.52,6.73,6.9,15987043
2023-07-17,7.03,7.599,6.76,6.83,16768302
2023-07-18,6.78,6.991,6.5,6.52,12132193
2023-07-19,6.64,7.07,6.56,6.97,14718463
2023-07-20,7.06,7.16,6.49,6.5,10330842
2023-07-21,6.63,6.679,6.16,6.42,9203601
2023-07-24,6.18,6.3542,5.97,6.11,9109791
2023-07-25,6.21,6.59,6.14,6.14,8689785
2023-07-26,6.11,6.3887,6.0709,6.23,7515970
2023-07-27,6.34,6.4,5.81,5.85,8753100
2023-07-28,5.92,6.14,5.882,5.96,8588335
2023-07-31,6.1,6.24,5.96,6.01,12054192
2023-08-01,5.9,5.9,5.67,5.84,7933320
2023-08-02,5.74,6.0,5.59,5.61,6945502
2023-08-03,5.55,5.75,5.48,5.5,9205521
2023-08-04,5.55,5.55,5.24,5.3,8736726
2023-08-07,5.33,5.33,4.91,5.1,10124322
2023-08-08,5.34,5.39,5.05,5.27,12819254
2023-08-09,5.45,5.46,5.04,5.05,7224280
2023-08-10,5.13,6.272,5.1,5.86,20137079
2023-08-11,5.99,6.77,5.95,6.52,16466015
2023-08-14,6.64,6.69,6.06,6.55,13781268
2023-08-15,6.47,6.86,6.25,6.26,12149624
2023-08-16,6.15,6.3899,5.97,6.22,12653861
2023-08-17,6.1,6.13,5.42,5.46,12348405
2023-08-18,5.08,5.4801,5.01,5.2,12353742
2023-08-21,5.225,5.295,4.8,4.96,13063803
2023-08-22,5.0,5.11,4.65,4.69,8415329
2023-08-23,4.62,5.02,4.59,4.87,12711145
2023-08-24,4.94,4.94,4.54,4.57,6984645
2023-08-25,4.58,4.73,4.45,4.56,7600087
2023-08-28,4.63,4.72,4.47,4.52,6288975
2023-08-29,4.52,5.43,4.449,5.25,19941838
2023-08-30,5.15,5.33,5.02,5.29,9572952
2023-08-31,5.26,5.43,4.83,4.93,12463042
2023-09-01,4.89,4.96,4.54,4.57,9274030
2023-09-05,4.56,4.65,4.45,4.53,8630788
2023-09-06,4.51,4.7499,4.49,4.58,9619728
2023-09-07,4.5,4.5499,4.28,4.51,9115291
2023-09-08,4.55,4.57,4.3,4.4,6901734
2023-09-11,4.39,4.44,4.15,4.19,8050580
2023-09-12,4.35,4.6786,4.3,4.32,8445074
2023-09-13,4.4,4.562,4.28,4.31,8523617
2023-09-14,4.49,4.78,4.44,4.63,9987321
2023-09-15,4.59,4.5999,4.37,4.42,15665165
2023-09-18,4.66,4.84,4.46,4.51,12716879
2023-09-19,4.53,4.66,4.31,4.37,11142982
2023-09-20,4.4,4.5,4.21,4.21,11618866
2023-09-21,4.035,4.12,3.93,4.06,7493989
2023-09-22,4.07,4.13,3.9,3.93,6233457
2023-09-25,3.81,3.95,3.76,3.87,7576692
2023-09-26,3.8,3.94,3.7,3.71,6165989
2023-09-27,3.81,3.91,3.65,3.7,7945211
2023-09-28,3.72,4.055,3.67,3.86,11380789
2023-09-29,3.9,3.995,3.792,3.81,8620340
2023-10-02,4.1665,4.33,3.8104,3.86,13632907
2023-10-03,3.81,3.84,3.41,3.47,10881712
2023-10-04,3.58,3.68,3.4401,3.63,8742714
2023-10-05,3.715,3.77,3.5,3.53,9884070
2023-10-06,3.45,3.8,3.38,3.75,8479106
2023-10-09,3.62,3.8,3.58,3.7,8902779
2023-10-10,3.66,3.86,3.65,3.75,6388030
2023-10-11,3.79,3.88,3.62,3.74,9004236
2023-10-12,3.78,3.78,3.535,3.57,6515661
2023-10-13,3.64,3.66,3.48,3.52,6258058
2023-10-16,3.84,4.145,3.68,3.95,22107161
2023-10-17,3.94,4.2892,3.83,4.17,14479450
2023-10-18,4.11,4.23,3.965,4.0,12753777
2023-10-19,4.08,4.11,3.86,3.87,10038689
2023-10-20,4.09,4.4099,3.87,3.92,19227052
2023-10-23,4.1,4.48,3.94,4.255,23832165
2023-10-24,4.81,5.11,4.59,4.7,31776430
2023-10-25,4.85,4.94,4.5,4.62,19766342
2023-10-26,4.51,4.6468,4.19,4.36,16171432
2023-10-27,4.45,4.63,4.13,4.15,13990268
2023-10-30,4.34,4.46,3.99,4.09,15525393
2023-10-31,4.08,4.18,3.94,4.1,13572384
2023-11-01,4.2,4.3,3.975,4.14,12915863
2023-11-02,4.3,4.69,4.21,4.64,18213519
2023-11-03,4.54,4.69,4.4,4.45,17583322
2023-11-06,4.61,4.69,4.19,4.31,16387474
2023-11-07,4.25,4.36,4.09,4.33,19258632
2023-11-08,4.35,4.38,3.92,3.92,15175313
2023-11-09,4.26,4.4588,3.64,3.69,39434824
2023-11-10,3.79,3.8795,3.46,3.74,24966153
2023-11-13,3.69,3.88,3.6,3.81,18369953
2023-11-14,3.87,3.93,3.675,3.85,14309003
2023-11-15,3.89,4.22,3.82,4.15,18367963
2023-11-16,4.0,4.06,3.76,3.84,13982510
2023-11-17,3.83,4.03,3.75,3.94,9864576
2023-11-20,4.04,4.65,4.04,4.59,22291015
2023-11-21,4.45,4.675,4.31,4.53,20496029
2023-11-22,4.53,4.88,4.39,4.86,13466503
2023-11-24,4.97,5.65,4.87,5.58,21678600
2023-11-27,5.302,5.75,5.1606,5.58,23058821
2023-11-28,5.71,6.44,5.71,6.38,30109026
2023-11-29,6.49,6.74,6.23,6.59,26670676
2023-11-30,6.6,6.62,6.15,6.24,23205396
2023-12-01,5.91,7.79,5.73,7.64,57377951
2023-12-04,8.83,9.37,8.12,8.87,44819039
2023-12-05,8.92,10.05,8.81,9.31,52681585
2023-12-06,9.56,9.6,8.93,9.25,26260767
2023-12-07,8.99,9.58,8.57,9.24,23480538
2023-12-08,9.12,10.45,9.1,10.34,31717640
2023-12-11,9.44,9.48,8.43,8.8,30959026
2023-12-12,8.96,9.19,8.65,8.775,18857073
2023-12-13,8.78,10.28,8.5409,10.25,32709275
2023-12-14,10.43,11.29,10.41,10.92,32948324
2023-12-15,10.7393,10.82,10.07,10.64,29641869
2023-12-18,10.245,11.31,10.18,10.84,27394190
2023-12-19,11.07,11.35,10.04,10.43,28180419
2023-12-20,11.05,11.6,10.46,10.49,33854273
2023-12-21,11.0,11.6,10.55,11.53,28169325
2023-12-22,11.66,12.24,11.35,11.89,27508890
2023-12-26,11.69,11.81,11.195,11.74,22123708
2023-12-27,12.26,13.56,12.24,13.43,27394049
2023-12-28,12.66,13.39,12.4,13.11,25965563
2023-12-29,13.2,13.47,10.63,11.03,35949669
2024-01-02,12.5999,12.5999,10.75,10.88,24949574
2024-01-03,9.7481,11.029,9.6,10.57,26263939
2024-01-04,10.77,11.46,10.535,10.76,21026711
2024-01-05,10.6,10.65,9.77,10.21,16480388
2024-01-08,10.17,10.94,9.12,10.725,30910812
2024-01-09,10.52,11.06,10.33,10.55,18099752
2024-01-10,10.18,10.965,9.76,9.985,31181865
2024-01-11,10.68,11.35,8.88,9.26,37395852
2024-01-12,9.01,9.09,8.075,8.14,28056212
2024-01-16,7.9,8.26,7.35,7.65,28821919
2024-01-17,7.5,7.6,7.23,7.36,15470828
2024-01-18,7.42,7.64,6.76,6.88,21855395
2024-01-19,6.89,6.95,6.41,6.87,21516870
2024-01-22,6.73,7.35,6.59,7.1,20878814
2024-01-23,6.84,7.38,6.705,7.09,18681647
2024-01-24,7.44,7.72,6.98,6.99,17561731
2024-01-25,7.06,7.39,6.95,7.305,11454014
2024-01-26,7.7,8.26,7.6,8.01,22815449
2024-01-29,8.14,9.24,7.975,8.53,32376036
2024-01-30,8.66,9.0097,8.2127,8.42,22805416
2024-01-31,8.14,8.98,8.04,8.05,26492374
2024-02-01,8.1,8.5199,7.68,8.36,28283255
2024-02-02,8.11,8.61,8.03,8.28,16921442
2024-02-05,8.26,8.37,7.68,7.76,19708711
2024-02-06,7.76,8.72,7.64,8.7,20793139
2024-02-07,8.76,9.34,8.4608,9.31,21592848
2024-02-08,9.93,10.54,9.53,10.5,36373079
2024-02-09,13.02,14.59,11.95,13.95,89228018
2024-02-12,14.19,16.44,14.095,16.005,69106611
2024-02-13,14.35,16.39,13.75,15.89,49437547
2024-02-14,18.14,18.87,16.86,17.85,51912845
2024-02-15,18.115,19.2299,16.47,17.23,51900499
2024-02-16,17.44,18.0089,16.5,17.86,33765351
2024-02-20,18.36,18.5,15.4401,16.56,43436978
2024-02-21,15.2,16.545,15.0,15.46,26676374
2024-02-22,15.7,17.68,15.29,17.09,37647019
2024-02-23,16.71,17.06,15.88,16.43,19874395
2024-02-26,16.61,20.95,16.57,20.35,62811563
2024-02-27,23.07,23.45,20.3,20.89,59037720
2024-02-28,21.85,22.38,17.76,18.08,75234451
2024-02-29,19.4,19.54,15.8123,16.72,61792937
2024-03-01,16.72,17.87,15.534,17.86,40502186
2024-03-04,18.91,19.18,15.89,16.47,61567710
2024-03-05,16.0,17.19,14.78,15.33,50329126
2024-03-06,16.12,17.34,15.065,16.575,41271675
2024-03-07,16.49,17.9901,15.91,17.82,36086826
2024-03-08,18.2,20.49,17.99,20.24,58042599
2024-03-11,21.04,21.33,16.87,16.91,46884229
2024-03-12,17.11,17.27,15.58,16.49,37991922
2024-03-13,16.46,17.895,16.29,17.11,32646458
2024-03-14,16.36,16.6,14.99,15.84,34141447
2024-03-15,15.65,17.73,15.324,17.43,44009307
2024-03-18,17.0,18.23,16.25,17.46,32793996
2024-03-19,16.63,17.0799,15.0601,16.49,35840120
2024-03-20,16.51,20.25,16.12,20.25,45280144
2024-03-21,19.632,21.02,19.29,20.77,41788311
2024-03-22,19.815,19.95,18.63,19.52,31839528
2024-03-25,20.15,24.08,20.12,23.4,48308528
2024-03-26,23.21,24.15,22.35,23.19,30486415
2024-03-27,24.04,24.72,22.465,23.11,32273274
2024-03-28,23.19,24.097,21.11,21.21,45389865
2024-04-01,19.49,20.5,18.54,18.58,35555604
2024-04-02,17.91,17.93,16.52,16.83,29455761
2024-04-03,16.85,17.08,16.18,16.185,22862364
2024-04-04,16.9,17.75,15.86,15.89,38249900
2024-04-05,15.73,16.52,15.58,15.6,21599339
2024-04-08,16.83,17.33,15.21,15.36,30346599
2024-04-09,15.09,15.7599,14.84,15.33,26465810
2024-04-10,14.8,15.72,14.59,15.05,22227385
2024-04-11,14.99,15.97,14.665,15.87,26513982
2024-04-12,15.64,15.85,14.61,14.85,28466225
2024-04-15,14.8,15.8784,14.53,14.69,29642151
2024-04-16,14.34,14.795,13.7,14.48,25300032
2024-04-17,14.48,15.46,14.18,14.92,32065169
2024-04-18,14.95,17.15,14.78,16.23,40509305
2024-04-19,16.73,17.9,16.37,17.2,44681348
2024-04-22,17.85,19.17,17.0697,19.09,46061870
2024-04-23,18.76,21.05,18.61,20.73,39722097
2024-04-24,20.3,21.39,19.21,19.78,34948306
2024-04-25,18.62,19.7999,18.06,19.54,26067704
2024-04-26,19.07,19.62,18.53,19.23,19373964
2024-04-29,18.5,18.73,17.28,18.12,23027273
2024-04-30,17.33,17.7,16.33,16.38,22808315
2024-05-01,16.03,16.88,15.3501,15.65,27968648
2024-05-02,16.1,16.3,15.3133,15.94,21437725
2024-05-03,16.72,17.38,15.93,16.15,25038408
2024-05-06,16.57,18.3173,16.4776,17.43,26468494
2024-05-07,17.31,17.48,16.22,16.54,21881026
2024-05-08,16.14,16.71,15.3,16.37,22502989
2024-05-09,16.81,17.395,16.18,16.59,26021951
2024-05-10,17.35,18.08,15.55,15.57,34285845
2024-05-13,16.05,17.1,15.41,15.55,25380079
2024-05-14,15.16,16.0499,15.03,15.36,22748367
2024-05-15,16.27,17.18,15.21,17.12,40153414
2024-05-16,16.81,17.41,16.41,16.47,23051898
2024-05-17,16.8,17.53,15.93,16.03,31358094
2024-05-20,16.28,18.53,15.7,18.31,36767265
2024-05-21,18.44,19.02,17.93,18.42,28778492
2024-05-22,18.32,20.15,18.17,18.44,37983481
2024-05-23,18.69,18.77,16.77,17.09,32685062
2024-05-24,17.25,18.16,16.8201,17.63,31356464
2024-05-28,17.92,18.94,17.18,17.69,37774695
2024-05-29,17.29,17.765,16.84,17.07,21800129
2024-05-30,17.19,17.88,16.2401,16.39,30777837
2024-05-31,16.68,16.82,15.54,16.07,24462892
2024-06-03,16.6,17.13,15.41,15.655,26005308
2024-06-04,15.83,16.7,15.3304,16.09,30005015
2024-06-05,16.51,16.67,15.56,16.36,27009019
2024-06-06,16.29,17.1163,16.06,16.33,29310962
2024-06-07,16.385,17.96,15.565,15.58,44653473
2024-06-10,15.62,16.12,15.26,15.7,22497349
2024-06-11,15.29,15.96,14.23,15.95,30363630
2024-06-12,16.45,18.09,16.14,17.25,46503086
2024-06-13,17.42,18.37,16.895,17.965,32604652
2024-06-14,17.9,18.82,17.275,17.71,36530531
2024-06-17,17.39,19.44,16.86,19.24,34358055
2024-06-18,18.69,19.62,18.37,19.48,31089215
2024-06-20,19.942,20.64,18.87,19.17,35881583
2024-06-21,18.39,18.74,17.23,17.29,36002908
2024-06-24,16.464,16.95,16.12,16.51,22728436
2024-06-25,16.66,17.18,16.29,16.61,28264270
2024-06-26,16.39,17.23,15.92,16.08,23513655
2024-06-27,16.58,16.908,16.015,16.05,28119273
2024-06-28,16.2,16.455,15.73,15.95,35723521
2024-07-01,16.4,18.42,16.26,17.92,40486424
2024-07-02,17.94,18.14,16.915,16.93,26646825
2024-07-03,16.54,16.8079,15.92,16.15,19266252
2024-07-05,15.45,16.13,15.12,16.05,30904142
2024-07-08,16.38,16.56,15.17,15.42,32715691
2024-07-09,15.67,15.75,15.08,15.22,23961122
2024-07-10,15.376,15.44,15.02,15.18,15818163
2024-07-11,15.69,15.9,14.84,14.96,33937022
2024-07-12,15.08,16.165,15.02,15.85,29243133
2024-07-15,16.96,18.78,16.72,18.3,58214925
2024-07-16,18.32,20.16,18.28,19.79,49370953
2024-07-17,19.22,20.49,18.0801,19.07,39550801
2024-07-18,19.45,19.53,16.68,17.07,37315967
2024-07-19,17.12,18.485,16.99,17.84,32829895
2024-07-22,18.07,18.61,17.055,18.13,30122919
2024-07-23,17.97,19.04,17.36,17.45,31817601
2024-07-24,17.68,17.94,16.5,16.57,32423197
2024-07-25,16.23,16.7291,15.55,16.18,25069373
2024-07-26,16.99,17.665,16.6622,17.12,26195284
2024-07-29,17.77,18.05,16.2,16.29,30333361
2024-07-30,16.35,16.49,15.69,15.7,18042179
2024-07-31,16.21,16.775,15.965,16.0,21891211
2024-08-01,16.0,16.26,14.9148,15.09,27094417
2024-08-02,14.92,15.24,13.24,13.48,37910417
2024-08-05,10.085,12.2,9.34,12.19,43413191
2024-08-06,12.6,12.72,11.84,12.26,22453481
2024-08-07,12.65,12.7,11.0,11.08,24118974
2024-08-08,11.57,12.43,11.27,12.23,25641019
2024-08-09,11.99,12.2,11.34,11.46,23064092
2024-08-12,11.11,11.42,10.25,11.16,26424608
2024-08-13,11.18,11.44,10.84,11.08,19287668
2024-08-14,11.27,11.475,10.87,10.99,17617505
2024-08-15,11.23,11.89,11.14,11.33,21995730
2024-08-16,11.3,12.04,11.18,11.84,21831232
2024-08-19,11.91,12.32,11.62,12.01,18890274
2024-08-20,12.34,12.43,11.35,11.66,21150464
2024-08-21,11.71,12.415,11.49,12.41,21266659
2024-08-22,12.41,12.455,11.82,11.87,14589346
2024-08-23,12.03,12.75,11.878,12.61,29799953
2024-08-26,12.63,12.63,12.13,12.16,17290382
2024-08-27,11.9,12.05,11.29,11.47,17402361
2024-08-28,11.25,11.38,10.6,10.68,18969727
2024-08-29,11.0,11.44,10.6915,10.81,20106542
2024-08-30,10.85,10.96,10.62,10.69,15728950
2024-09-03,10.19,10.23,8.95,9.02,28142339
2024-09-04,8.86,9.16,8.6,8.675,20796443
2024-09-05,8.63,8.92,8.37,8.59,18605112
2024-09-06,8.77,8.875,8.04,8.09,17611344
2024-09-09,8.315,8.84,8.22,8.83,17814183
2024-09-10,8.88,9.36,8.6,9.35,18055382
2024-09-11,9.0,9.3798,8.61,9.29,18819627
2024-09-12,9.33,9.459,9.02,9.25,15685032
2024-09-13,9.31,9.75,9.12,9.38,17563925
2024-09-16,9.15,9.26,8.8,9.07,13100296
2024-09-17,9.3,9.545,8.9721,9.15,17691089
2024-09-18,9.15,9.575,8.83,8.84,19326702
2024-09-19,9.48,9.555,9.01,9.03,20641620
2024-09-20,9.0395,9.19,8.81,8.99,19692938
2024-09-23,9.07,9.35,8.95,9.17,17080171
2024-09-24,9.28,9.655,9.08,9.63,24246095
2024-09-25,9.68,9.98,9.33,9.34,21413256
2024-09-26,9.76,10.31,9.51,10.09,31828056
2024-09-27,10.44,10.47,9.875,10.13,24717683
2024-09-30,9.62,9.83,9.22,9.34,21168318
2024-10-01,9.28,9.401,8.45,8.61,25190430
